time,city,hight_t,low_t,zero_six,six_twelve,twelve_eighteenth,eighteenth_zero
Te-2020年05月15日-久留米市,久留米市,22,19,,,100%,100%
Te-2020年05月16日-久留米市,久留米市,24,21,100%,100%,90%,40%
Ya-2020年05月15日-久留米市,久留米市,24,18,---,---,100％,90％
Ya-2020年05月16日-久留米市,久留米市,25,21,80％,100％,90％,20％
Te-2020年05月15日-八女市,八女市,24,17,,,100%,90%
Te-2020年05月16日-八女市,八女市,23,20,100%,100%,90%,40%
Ya-2020年05月15日-八幡市,八幡市,24,17,---,---,90％,100％
Ya-2020年05月16日-八幡市,八幡市,23,20,80％,90％,60％,20％
Ki-2020年05月15日-北九州地方,北九州地方,24,--,--%,--%,80%,80%
Ki-2020年05月16日-北九州地方,北九州地方,23,21,90%,80%,60%,30%
Te-2020年05月15日-北九州市,北九州市,20,18,,,90%,100%
Te-2020年05月16日-北九州市,北九州市,22,19,90%,80%,50%,30%
Te-2020年05月15日-嘉麻市,嘉麻市,22,16,,,100%,100%
Te-2020年05月16日-嘉麻市,嘉麻市,23,20,90%,90%,80%,40%
Te-2020年05月15日-大牟田市,大牟田市,23,17,,,100%,90%
Te-2020年05月16日-大牟田市,大牟田市,23,21,100%,100%,80%,40%
Te-2020年05月15日-太宰府市,太宰府市,22,19,,,100%,90%
Te-2020年05月16日-太宰府市,太宰府市,24,21,90%,90%,70%,40%
Te-2020年05月15日-宗像市,宗像市,22,17,,,90%,100%
Te-2020年05月16日-宗像市,宗像市,22,20,80%,80%,50%,30%
Te-2020年05月15日-朝倉市,朝倉市,22,16,,,100%,100%
Te-2020年05月16日-朝倉市,朝倉市,24,20,100%,90%,80%,30%
Te-2020年05月15日-直方市,直方市,22,16,,,90%,100%
Te-2020年05月16日-直方市,直方市,22,20,90%,90%,60%,30%
Ki-2020年05月15日-福岡地方,福岡地方,23,--,--%,--%,80%,80%
Ki-2020年05月16日-福岡地方,福岡地方,24,21,90%,70%,50%,30%
Ya-2020年05月15日-福岡市,福岡市,23,19,---,---,90％,90％
Ya-2020年05月16日-福岡市,福岡市,24,21,80％,90％,80％,20％
Te-2020年05月15日-福岡市,福岡市,23,20,,,90%,90%
Te-2020年05月16日-福岡市,福岡市,23,21,80%,80%,70%,40%
Ki-2020年05月15日-筑後地方,筑後地方,24,--,--%,--%,80%,80%
Ki-2020年05月16日-筑後地方,筑後地方,24,21,90%,90%,70%,30%
Ki-2020年05月15日-筑豊地方,筑豊地方,23,--,--%,--%,80%,80%
Ki-2020年05月16日-筑豊地方,筑豊地方,24,21,90%,80%,60%,20%
Te-2020年05月15日-行橋市,行橋市,20,16,,,90%,100%
Te-2020年05月16日-行橋市,行橋市,22,18,90%,90%,60%,30%
Ya-2020年05月15日-飯塚市,飯塚市,24,16,---,---,90％,100％
Ya-2020年05月16日-飯塚市,飯塚市,24,20,80％,90％,80％,20％
Te-2020年05月15日-飯塚市,飯塚市,22,17,,,90%,100%
Te-2020年05月16日-飯塚市,飯塚市,24,20,90%,90%,70%,30%
